SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO43765,7/9/2019,Jacquelyn Suarez,jacquelyn20@adventure-works.com,Rotten Vegy 48,8,77,3.85
SO43767,7/9/2019,Eugene Huang,eugene10@adventure-works.com,Rotten Vegy 49,1,14,0.7
SO43766,7/9/2019,Krystal Holt,krystal6@adventure-works.com,Rotten Vegy 50,2,80,4
SO43763,7/9/2019,Martha Liang,martha16@adventure-works.com,Rotten Vegy 51,7,17,0.85
SO43764,7/9/2019,Ebony Ashe,ebony31@adventure-works.com,Rotten Vegy 52,7,22,1.1
SO43762,7/9/2019,Courtney Carter,courtney8@adventure-works.com,Rotten Vegy 53,7,100,5
SO43770,7/10/2019,Warren Ye,warren25@adventure-works.com,Rotten Vegy 54,2,33,1.65
SO43779,7/10/2019,Warren Zhang,warren17@adventure-works.com,Rotten Vegy 55,2,49,2.45
SO43769,7/10/2019,Gabrielle Jenkins,gabrielle29@adventure-works.com,Rotten Vegy 56,7,95,4.75
SO43768,7/10/2019,Evan Bailey,evan17@adventure-works.com,Rotten Vegy 57,8,95,4.75
SO43773,7/10/2019,Arthur Perez,arthur22@adventure-works.com,Rotten Vegy 58,9,70,3.5
SO43772,7/10/2019,Damien Huang,damien4@adventure-works.com,Rotten Vegy 59,7,79,3.95
SO43777,7/10/2019,Troy Sai,troy6@adventure-works.com,Rotten Vegy 60,9,5,0.25
SO43774,7/10/2019,Roy Raman,roy12@adventure-works.com,Rotten Vegy 61,2,1,0.05
SO43778,7/10/2019,Clarence Rai,clarence32@adventure-works.com,Rotten Vegy 62,3,5,0.25
SO43775,7/10/2019,Jessie Zhao,jessie16@adventure-works.com,Davy Depravity 5,7,14,0.7
SO43776,7/10/2019,James Flores,james28@adventure-works.com,Davy Depravity 6,2,10,0.5
SO43771,7/10/2019,Ashley Washington,ashley40@adventure-works.com,Davy Depravity 7,4,84,4.2
SO43780,7/11/2019,Melody Diaz,melody3@adventure-works.com,Davy Depravity 8,9,34,1.7
SO43782,7/11/2019,Melvin She,melvin0@adventure-works.com,Davy Depravity 9,1,44,2.2
SO43781,7/11/2019,Monique Ramos,monique14@adventure-works.com,Davy Depravity 10,1,22,1.1
SO43783,7/11/2019,Cameron Thompson,cameron33@adventure-works.com,Davy Depravity 11,2,57,2.85
SO43792,7/12/2019,Andres Lal,andres5@adventure-works.com,Davy Depravity 12,5,84,4.2
SO43791,7/12/2019,Dustin Lal,dustin8@adventure-works.com,Davy Depravity 13,4,25,1.25
SO43785,7/12/2019,Ivan Raman,ivan8@adventure-works.com,Davy Depravity 14,6,19,0.95
SO43786,7/12/2019,Clinton Moreno,clinton3@adventure-works.com,Davy Depravity 15,7,2,0.1
SO43793,7/12/2019,Jon Yang,jon24@adventure-works.com,Davy Depravity 16,5,39,1.95
SO43794,7/12/2019,Jimmy Moreno,jimmy9@adventure-works.com,Davy Depravity 17,9,89,4.45
SO43788,7/12/2019,Latoya Goel,latoya18@adventure-works.com,Davy Depravity 18,5,22,1.1
SO43784,7/12/2019,Jessica Sanchez,jessica1@adventure-works.com,Davy Depravity 19,9,23,1.15
SO43790,7/12/2019,Abigail Perry,abigail75@adventure-works.com,Sucker Sucotash 59,8,71,3.55
SO43789,7/12/2019,Tristan Butler,tristan15@adventure-works.com,Sucker Sucotash 60,2,75,3.75
SO43787,7/12/2019,Don Lal,don8@adventure-works.com,Sucker Sucotash 61,5,44,2.2
SO43795,7/13/2019,Maria Henderson,maria28@adventure-works.com,Sucker Sucotash 62,5,26,1.3
SO43800,7/13/2019,Brittany Gonzales,brittany15@adventure-works.com,Sucker Sucotash 63,10,66,3.3
SO43802,7/13/2019,Armando Moreno,armando6@adventure-works.com,Sucker Sucotash 64,5,78,3.9
SO43801,7/13/2019,Blake Butler,blake62@adventure-works.com,Sucker Sucotash 65,7,87,4.35
SO43798,7/13/2019,Tonya She,tonya0@adventure-works.com,Sucker Sucotash 66,4,67,3.35
SO43799,7/13/2019,Danny Gomez,danny1@adventure-works.com,Sucker Sucotash 67,3,41,2.05
SO43797,7/13/2019,Francis Ramos,francis15@adventure-works.com,Sucker Sucotash 68,10,98,4.9
SO43796,7/13/2019,Jaime Gomez,jaime0@adventure-works.com,Sucker Sucotash 69,2,93,4.65
SO43806,7/14/2019,Sandra Huang,sandra12@adventure-works.com,Sucker Sucotash 70,2,88,4.4
SO43809,7/14/2019,Fernando Thompson,fernando14@adventure-works.com,Sucker Sucotash 71,4,64,3.2
SO43804,7/14/2019,Savannah Morris,savannah17@adventure-works.com,Sucker Sucotash 72,8,90,4.5
SO43808,7/14/2019,Allen Garcia,allen13@adventure-works.com,Sucker Sucotash 73,6,64,3.2
SO43805,7/14/2019,Samuel Hernandez,samuel49@adventure-works.com,Sucker Sucotash 74,9,94,4.7
