SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO43748,1,7/7/2019,Alexandria Hughes,alexandria11@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43749,1,7/7/2019,Paige Murphy,paige39@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43756,1,7/8/2019,Cedric Liang,cedric16@adventure-works.com,"Road-650 Black, 58",1,699.0982,55.9279
SO43755,1,7/8/2019,Kayla Long,kayla33@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43754,1,7/8/2019,Morgan Phillips,morgan4@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43758,1,7/8/2019,Jackson Li,jackson28@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43761,1,7/8/2019,Brenda Fernandez,brenda19@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43760,1,7/8/2019,Tiffany Gao,tiffany15@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43757,1,7/8/2019,Shannon Wang,shannon1@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43759,1,7/8/2019,Jon Chander,jon12@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43765,1,7/9/2019,Jacquelyn Suarez,jacquelyn20@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO43767,1,7/9/2019,Eugene Huang,eugene10@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO43766,1,7/9/2019,Krystal Holt,krystal6@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43763,1,7/9/2019,Martha Liang,martha16@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43764,1,7/9/2019,Ebony Ashe,ebony31@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43762,1,7/9/2019,Courtney Carter,courtney8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43770,1,7/10/2019,Warren Ye,warren25@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43779,1,7/10/2019,Warren Zhang,warren17@adventure-works.com,"Road-650 Red, 44",1,699.0982,55.9279
SO43769,1,7/10/2019,Gabrielle Jenkins,gabrielle29@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43768,1,7/10/2019,Evan Bailey,evan17@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43773,1,7/10/2019,Arthur Perez,arthur22@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43772,1,7/10/2019,Damien Huang,damien4@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43777,1,7/10/2019,Troy Sai,troy6@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43774,1,7/10/2019,Roy Raman,roy12@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43778,1,7/10/2019,Clarence Rai,clarence32@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO43775,1,7/10/2019,Jessie Zhao,jessie16@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO43776,1,7/10/2019,James Flores,james28@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43771,1,7/10/2019,Ashley Washington,ashley40@adventure-works.com,"Road-650 Red, 52",1,699.0982,55.9279
SO43780,1,7/11/2019,Melody Diaz,melody3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43782,1,7/11/2019,Melvin She,melvin0@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43781,1,7/11/2019,Monique Ramos,monique14@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43783,1,7/11/2019,Cameron Thompson,cameron33@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43792,1,7/12/2019,Andres Lal,andres5@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43791,1,7/12/2019,Dustin Lal,dustin8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO43785,1,7/12/2019,Ivan Raman,ivan8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43786,1,7/12/2019,Clinton Moreno,clinton3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43793,1,7/12/2019,Jon Yang,jon24@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43794,1,7/12/2019,Jimmy Moreno,jimmy9@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO43788,1,7/12/2019,Latoya Goel,latoya18@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO43784,1,7/12/2019,Jessica Sanchez,jessica1@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43790,1,7/12/2019,Abigail Perry,abigail75@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43789,1,7/12/2019,Tristan Butler,tristan15@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO43787,1,7/12/2019,Don Lal,don8@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO43795,1,7/13/2019,Maria Henderson,maria28@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43800,1,7/13/2019,Brittany Gonzales,brittany15@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43802,1,7/13/2019,Armando Moreno,armando6@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43801,1,7/13/2019,Blake Butler,blake62@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO43798,1,7/13/2019,Tonya She,tonya0@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43799,1,7/13/2019,Danny Gomez,danny1@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43797,1,7/13/2019,Francis Ramos,francis15@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43796,1,7/13/2019,Jaime Gomez,jaime0@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO43806,1,7/14/2019,Sandra Huang,sandra12@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO43809,1,7/14/2019,Fernando Thompson,fernando14@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43804,1,7/14/2019,Savannah Morris,savannah17@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO43808,1,7/14/2019,Allen Garcia,allen13@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO43805,1,7/14/2019,Samuel Hernandez,samuel49@adventure-works.com,"Road-650 Red, 48",1,699.0982,55.9279
